"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","labor.growth","sce","sre"
175,175,2277,-375.397954997911,6,3159.63495499791,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-21.5608550417809,0.008,"N",714.236491937799,705.194013416783,12.8058813447497,221.548004379011,639.809706222002,0.25,0.25,1,0.982164508047731,0.0178354919522695,1.00352725299803,2.19856788870239,3.11836792732902,0.056627607306483,0.0181593733087764,2.19084024089448,-100,717.999894761533,702.715358561532,193.2,5.82464676690415,45.55074,0,0.955286691956307,0.0447133080436929
175,175,2277,-375.397954997911,6,3159.63495499791,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-21.5608550417809,0.008,"S",359.944508625067,1438.00157028695,2.50983378557591,56.3398926611893,320.909928042258,0.25,0.25,4,3.99303071456851,0.00696928543149398,1.00034124449385,3.46560662484185,6.35884294380891,0.0110984849998167,0.00174536233995563,3.46442440908787,-100,1440.51140407253,1437.51102756394,257.54634,0.724211965543102,27.82166,0,0.998252368121198,0.00174763187880228
175,175,2282,-485.342849161461,6,3269.57984916146,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-22.1738111821319,0.008,"N",731.530257975043,722.956029449272,12.1403566725766,221.786417373806,655.044389673179,0.25,0.25,1,0.983484673708402,0.0165153262915977,1.00326355351717,2.23189756919393,3.19691156222468,0.0536846572061339,0.0167926625936363,2.22463734615845,-100,735.096386121848,720.60429875558,193.2,5.4394775280665,45.55074,0,0.958641011912709,0.041358988087291
175,175,2282,-485.342849161461,6,3269.57984916146,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-22.1738111821319,0.008,"S",368.891119686116,1473.88979169863,2.36599207878804,56.3465725634043,328.872882231014,0.25,0.25,4,3.99358920830716,0.0064107916928433,1.00031387213605,3.52270972431537,6.51754065889135,0.0104624169724007,0.0016052706872074,3.52160439082291,-100,1476.25578377742,1473.42732391716,257.54634,0.671639806838714,27.82166,0,0.998509390174368,0.00149060982563238
175,175,2287,-598.405418994746,6,3382.64241899475,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-22.801919036935,0.008,"N",749.303981538787,741.178272255071,11.5031795844114,222.00694556838,670.714441734163,0.25,0.25,1,0.984717067816274,0.0152829321837262,1.00301776783898,2.26602093052162,3.27749031991193,0.0508670601222672,0.0155201252047128,2.25920317982382,-100,752.681451839482,738.948297847158,193.2,5.07637834649809,45.55074,0,0.96182395681745,0.0381760431825502
175,175,2287,-598.405418994746,6,3382.64241899475,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-22.801919036935,0.008,"S",378.051586190878,1510.62762736464,2.23036458730464,56.3522674013962,337.026939157095,0.25,0.25,4,3.9941029109165,0.00589708908349539,1.0002886990787,3.58074950756611,6.67999536820645,0.00986267220506114,0.00147644895863292,3.57971604684138,-100,1512.85799195195,1510.19163643055,257.54634,0.62287646276063,27.82166,0,0.998733375920496,0.00126662407950419
175,175,2292,-714.662942886812,6,3498.89994288681,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-23.4456136758253,0.008,"N",767.568994815997,759.872396562201,10.8938444351099,222.210481556571,686.829797352704,0.25,0.25,1,0.985866214870784,0.0141337851292166,1.00278891588613,2.30094351004152,3.36015573759805,0.0481725800920562,0.0143364129087932,2.29454421921712,-100,770.766240997311,757.759070253314,193.2,4.7345119024297,45.55074,0,0.964837623421079,0.0351623765789214
175,175,2292,-714.662942886812,6,3498.89994288681,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-23.4456136758253,0.008,"S",387.432421602924,1548.24146365521,2.10248013956245,56.3571034936394,345.37787207888,0.25,0.25,4,3.99457544850489,0.00542455149511204,1.00026554665593,3.63974534313917,6.84632375228332,0.00929716717714517,0.00135797948118426,3.63877907752348,-100,1550.34394379477,1547.83044245727,257.54634,0.5776448463697,27.82166,0,0.998927860720148,0.00107213927985149
175,175,2297,-834.194906501092,6,3618.43190650109,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-24.1053394154928,0.008,"N",786.336834198176,779.050314722079,10.3117744504617,222.397912455971,703.400557661651,0.25,0.25,1,0.986936572465405,0.0130634275345946,1.002576041518,2.33667075982072,3.44496049170103,0.0455986666199414,0.0132363394964295,2.3306668652113,-100,789.36208917254,777.048605253439,193.2,4.41301985190795,45.55074,0,0.967684584806443,0.0323154151935569
175,175,2297,-834.194906501092,6,3618.43190650109,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0,1,295,9.9,0,0,0,0,0,0,0,0,-24.1053394154928,0.008,"S",397.040276873765,1586.75821776614,1.98189478036845,56.361193852494,353.931578572547,0.25,0.25,4,3.99501014731178,0.00498985268822044,1.00024425107143,3.6997169506848,7.01664483896186,0.0087639387187893,0.00124902128010315,3.6988135115216,-100,1588.7401125465,1586.37074501199,257.54634,0.53568821798695,27.82166,0,0.999096094026852,0.000903905973148526
